freq	dB(S(1,2))
5.60132941137499962E9	-7.47138275267055185E-1
5.60258527878125001E9	-7.38101174296567741E-1
5.60384114618750040E9	-7.12484519979062192E-1
5.60509701359375079E9	-6.73917706534278071E-1
5.60635288100000029E9	-6.27121656339298728E-1
5.60886461581249929E9	-5.26238091369877026E-1
5.61137635062500095E9	-4.34166537213313042E-1
5.61388808543749995E9	-3.59410239156011535E-1
5.61639982025000073E9	-3.01676891415409631E-1
5.61891155506250151E9	-2.57823892588407855E-1
5.62142328987499873E9	-2.24518920792558507E-1
5.62393502468750039E9	-1.99033858078625636E-1
5.62644675950000028E9	-1.79323441681650975E-1
5.63147022912500184E9	-1.51704092079882003E-1
5.63649369874999984E9	-1.34096862606515077E-1
5.64151716837499961E9	-1.22506801493848250E-1
5.64654063799999939E9	-1.14741676203900078E-1
5.65658757724999983E9	-1.06201482903182898E-1
5.66663451649999939E9	-1.03527301585803277E-1
5.67668145575000160E9	-1.05439734637865090E-1
5.68672839500000027E9	-1.13066881545650166E-1
5.69119370150000137E9	-1.19319751933485563E-1
5.69565900799999980E9	-1.28341589928787947E-1
5.70012431450000001E9	-1.41323222170041141E-1
5.70458962100000022E9	-1.59839509527028589E-1
5.70548268225000044E9	-1.64346897378145274E-1
5.70637574349999976E9	-1.69141691766837798E-1
5.70726880474999909E9	-1.74224374613206723E-1
5.70816186600000020E9	-1.79588768628684803E-1
5.71039451912499985E9	-1.94106879933163001E-1
5.71262717225000038E9	-2.09677287720524452E-1
5.71485982537499915E9	-2.25055048859326634E-1
5.71709247850000146E9	-2.38246771956516623E-1
5.71932513162500022E9	-2.46818559920863612E-1
5.72155778474999988E9	-2.48735505913759125E-1
5.72379043787500130E9	-2.43361265377340974E-1
5.72602309100000006E9	-2.31833733130941644E-1
5.72834877140625043E9	-2.15773840420603147E-1
5.73067445181249902E9	-1.98273007181034622E-1
5.73300013221875115E9	-1.81337669034672833E-1
5.73532581262499974E9	-1.66059233192478573E-1
5.73765149303124922E9	-1.52827927657463425E-1
5.73997717343750047E9	-1.41624422415310214E-1
5.74230285384375083E9	-1.32240223310936766E-1
5.74462853424999942E9	-1.24407441084103754E-1
5.74927989506250015E9	-1.12382539657299607E-1
5.75393125587499998E9	-1.03939478191841728E-1
5.75858261668750071E9	-9.82973476831963744E-2
5.76323397750000055E9	-9.53241530010939897E-2
5.77253669912500023E9	-9.36416858319988954E-2
5.78183942074999990E9	-9.21754856168758430E-2
5.79114214237499958E9	-9.17662441276739571E-2
5.80044486400000014E9	-9.41782943523406502E-2
5.80230540825000052E9	-9.53543478012036694E-2
5.80416595250000000E9	-9.69425416935357553E-2
5.80602649674999860E9	-9.90919215395667052E-2
5.80788704099999986E9	-1.02017525305241530E-1
5.80974758524999935E9	-1.06023627794933906E-1
5.81160812949999972E9	-1.11513012489149710E-1
5.81346867375000009E9	-1.18919098516442268E-1
5.81532921799999958E9	-1.28384238628869807E-1
5.81599901393749974E9	-1.32162912146671907E-1
5.81666880987499990E9	-1.35986479293558293E-1
5.81733860581249917E9	-1.39691320908931793E-1
5.81800840175000111E9	-1.43065598402418548E-1
5.81867819768749861E9	-1.45864022524935932E-1
5.81934799362499966E9	-1.47838964102457338E-1
5.82001778956249982E9	-1.48784886284067408E-1
5.82068758550000087E9	-1.48584569736465810E-1
5.82135738143749926E9	-1.47240024350010890E-1
5.82202717737499853E9	-1.44874225631616227E-1
5.82269697331249869E9	-1.41702145196479057E-1
5.82336676924999974E9	-1.37983313083315906E-1
5.82403656518749990E9	-1.33974087065798120E-1
