Freq(Hz),Sdd11(mag),Sdd11(phase),Sdd12(mag),Sdd12(phase),Sdd21(mag),Sdd21(phase),Sdd22(mag),Sdd22(phase)
1.49E+09,-22.38148,137.73445,-52.66595,158.53928,23.94811,-9.18702,-14.14599,175.67401
1.50E+09,-23.31087,142.97203,-54.98289,160.62434,23.93903,-9.84749,-14.22218,175.82196
1.50E+09,-23.67446,147.62489,-49.36634,-133.19128,23.94071,-10.55677,-14.32,174.16875
1.51E+09,-22.38594,140.19057,-53.91483,152.80345,23.94111,-11.43212,-14.10798,175.16177
1.51E+09,-21.81832,135.74739,-46.12448,168.09943,23.94427,-12.10108,-14.18103,173.875
1.52E+09,-22.49284,139.03358,-45.06693,166.69269,23.92087,-12.93883,-14.34826,174.78236
1.53E+09,-22.71586,136.74571,-45.24725,78.26614,23.91163,-13.67952,-13.98146,173.39977
1.53E+09,-21.77454,139.48471,-49.83403,-3.49793,23.93864,-14.62923,-13.8722,171.10498
1.54E+09,-22.39541,141.12596,-49.56314,86.12304,23.9291,-15.30518,-13.50917,172.38672
1.54E+09,-21.73617,136.37704,-48.06295,106.81306,23.92873,-16.22012,-13.53085,170.28183
1.55E+09,-22.78754,131.1862,-43.54143,-176.06,23.93561,-16.91072,-13.73435,169.04219
1.56E+09,-22.04022,137.09732,-44.5626,143.44585,23.92814,-17.65988,-13.67243,169.84123
1.56E+09,-20.80937,138.56906,-47.76812,121.69286,23.89062,-18.49715,-13.88278,168.07028
1.57E+09,-21.02651,131.8298,-42.87279,61.83601,23.92573,-19.20378,-13.78239,166.64616
1.57E+09,-20.63964,131.36647,-46.07171,99.07055,23.90261,-19.89602,-14.31523,167.74475
1.58E+09,-21.63365,129.86388,-55.55021,82.92051,23.92392,-20.72849,-13.9574,168.03587
1.59E+09,-21.37084,131.42613,-46.04551,77.98422,23.90639,-21.53818,-13.94083,165.71957
