Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
8.97E+08,-27.45854,-115.69894,-13.21379,-51.88974,-13.6393,-53.72834,-17.55068,-150.9106
9.03E+08,-27.01416,-120.78679,-13.18887,-55.46686,-13.12787,-56.26909,-17.55514,-148.36513
9.09E+08,-28.60231,-130.28656,-13.18808,-56.36289,-13.22147,-58.33192,-17.71807,-151.84364
9.14E+08,-28.18191,-135.29822,-13.35153,-60.25874,-13.43965,-61.98033,-17.3815,-153.90518
9.20E+08,-28.17121,-137.02434,-13.19174,-62.6227,-13.35864,-65.50185,-17.28191,-154.57335
9.26E+08,-29.29361,-138.98152,-13.47561,-65.42652,-13.23143,-67.62987,-18.30587,-154.701
9.32E+08,-28.80806,-147.99348,-13.33332,-68.8822,-13.39645,-70.77362,-17.68603,-156.59299
9.38E+08,-30.47035,-155.00711,-13.19021,-70.3298,-13.30987,-72.0555,-17.85866,-156.66049
9.44E+08,-30.98578,-154.04398,-13.15142,-73.67047,-13.33314,-74.90121,-17.487,-154.12018
9.50E+08,-31.81699,-154.79567,-13.28787,-76.95865,-13.2768,-79.24681,-17.58485,-153.90747
9.56E+08,-30.80382,178.29808,-13.2564,-78.73186,-13.56261,-80.91753,-17.8209,-160.7346
9.62E+08,-30.97208,-176.79611,-13.05056,-82.21362,-13.27691,-83.14867,-17.7106,-158.37616
9.68E+08,-31.58731,168.50314,-13.26673,-84.02746,-13.36116,-86.71932,-17.80533,-161.62701
9.74E+08,-33.32807,152.85162,-13.31125,-88.36048,-13.4134,-89.92818,-17.69282,-159.35132
9.80E+08,-30.89745,170.29446,-13.45961,-89.93288,-13.28035,-91.71328,-18.03312,-162.79384
9.86E+08,-30.99422,162.93893,-13.24434,-92.83529,-13.53925,-94.66035,-17.69568,-162.61497
9.92E+08,-33.39885,153.48631,-13.20103,-95.7023,-13.16763,-97.66225,-17.85779,-166.82246
9.98E+08,-32.41208,144.89929,-13.23622,-98.69793,-13.48307,-99.36695,-17.44584,-164.94176
1.00E+09,-33.61375,134.61586,-13.33208,-100.81729,-13.58629,-102.67542,-17.89908,-165.7209
1.01E+09,-32.16777,131.17159,-13.38024,-104.28088,-13.2399,-106.22526,-17.97865,-168.87357
1.02E+09,-33.05503,119.85178,-13.41242,-106.65334,-13.27459,-107.749,-17.51235,-169.79092
1.02E+09,-32.15941,115.09232,-13.5134,-109.3861,-13.56237,-110.59318,-17.14552,-168.95891
1.03E+09,-33.26791,93.80779,-13.15798,-112.19653,-13.47883,-114.27431,-17.62319,-173.85352
1.03E+09,-30.66878,100.24606,-13.3518,-114.41226,-13.40031,-117.2718,-17.03598,-173.75285
1.04E+09,-32.32557,84.53007,-13.35809,-118.65506,-13.28879,-119.01765,-17.65233,-174.33623
1.05E+09,-31.2332,84.68318,-13.5571,-120.16524,-13.49087,-121.78647,-17.29101,-176.59604
1.05E+09,-31.20314,70.56809,-12.97805,-121.89941,-13.64373,-125.23885,-17.27685,-173.73148
1.06E+09,-28.72171,66.64617,-13.24906,-126.04884,-13.48281,-125.9231,-17.60394,-176.5567
1.06E+09,-29.16808,58.6103,-13.28292,-126.90981,-13.527,-130.21375,-17.56769,-174.35095
1.07E+09,-28.9383,54.53507,-13.19171,-131.18744,-13.20419,-132.37062,-17.58325,-178.51025
1.08E+09,-28.06649,56.46515,-13.3626,-134.26228,-13.47287,-136.11256,-17.3472,-178.34378
1.08E+09,-27.91975,48.48089,-13.23513,-135.90712,-13.39693,-138.16228,-17.58071,-174.93297
1.09E+09,-27.63362,45.41949,-13.27793,-138.96422,-13.33236,-139.92834,-17.82734,-175.41231
1.09E+09,-28.49177,40.09286,-13.41392,-140.9655,-13.5755,-144.64063,-17.53724,179.53894
1.10E+09,-28.14054,37.11019,-13.30205,-144.43314,-13.58921,-146.73253,-17.30171,-179.58179
1.11E+09,-28.05414,27.81066,-13.15169,-146.47757,-13.34686,-147.97552,-17.37708,178.71722
1.11E+09,-27.97012,26.83345,-13.37628,-149.86095,-13.52075,-151.97595,-16.78675,175.31001
1.12E+09,-27.90468,16.6225,-13.31313,-152.32675,-13.49123,-154.38087,-17.96346,175.9017
1.12E+09,-25.7445,19.74683,-13.22259,-154.00832,-13.45381,-157.23064,-17.82733,174.24522
1.13E+09,-26.57052,10.48873,-13.38291,-159.13255,-13.59545,-160.25095,-17.34714,170.96953
1.14E+09,-26.05145,11.61046,-13.35059,-161.01657,-13.56388,-162.30162,-17.57797,172.98564
1.14E+09,-25.93292,12.47407,-13.19123,-163.59378,-13.35185,-165.79247,-17.72838,171.8822
1.15E+09,-26.20986,-0.00938,-13.18497,-167.57109,-13.59475,-167.83818,-17.43482,170.15556
1.15E+09,-25.37427,1.96665,-13.11322,-168.61792,-13.60891,-170.12242,-17.26819,169.94669
1.16E+09,-25.48795,-2.48894,-13.10638,-171.94774,-13.57374,-175.38795,-17.33774,167.74921
1.17E+09,-25.0861,-3.07926,-13.33946,-175.58582,-13.5562,-176.3853,-17.63189,166.77402
1.17E+09,-25.1778,-11.34813,-13.28127,-176.98697,-13.43971,-179.83572,-17.00447,168.22765
1.18E+09,-24.48935,-11.01891,-13.11154,-179.933,-13.56564,177.90843,-17.42142,166.6402
1.18E+09,-23.75707,-14.3848,-13.23002,177.38869,-13.4076,174.9198,-17.26951,163.54344
1.19E+09,-23.86482,-21.22933,-13.05504,173.27464,-13.62087,172.71129,-17.34545,165.02254
1.20E+09,-23.87842,-17.57764,-13.24608,172.7198,-13.52852,169.87953,-17.17232,164.40488
1.20E+09,-24.14332,-29.83471,-13.26104,169.77338,-13.48875,166.498,-17.03686,162.40373
1.21E+09,-24.33443,-23.71335,-13.28578,166.09126,-13.6199,163.41531,-17.05182,158.4511
